invite_id,invite_sent_at,invite_carrier,carrier_response,response_date,is_sold,actual_annual_premium
52899,2020-09-03 17:09:33.041 UTC,Lincoln,decline_to_bid,2020-09-09,FALSE,
52903,2020-09-03 17:09:35.940 UTC,Unum,decline_to_bid,2020-09-22,FALSE,
52897,2020-09-03 17:09:31.573 UTC,Anthem,bid_submitted,2020-11-17,TRUE,10358.04
52898,2020-09-03 17:09:32.308 UTC,Delta Dental,bid_submitted,2020-09-17,FALSE,11235.84
52900,2020-09-03 17:09:33.744 UTC,Cigna,bid_submitted,2020-11-12,FALSE,10358.04
52901,2020-09-03 17:09:34.492 UTC,Guardian,bid_submitted,2020-09-17,FALSE,10006.92
52902,2020-09-03 17:09:35.233 UTC,MetLife,decline_to_bid,2020-09-09,FALSE,178652.4
54622,2020-09-11 00:48:15.219 UTC,Lincoln,decline_to_bid,2020-09-23,FALSE,
54625,2020-09-11 00:48:16.321 UTC,Guardian,decline_to_bid,2020-09-24,FALSE,
54626,2020-09-11 00:48:16.677 UTC,Unum,decline_to_bid,2020-09-23,FALSE,
54634,2020-09-11 00:50:11.017 UTC,MetLife,decline_to_bid,2020-09-30,FALSE,
58552,2020-10-01 00:42:17.647 UTC,Principal,decline_to_bid,2020-10-15,FALSE,
54624,2020-09-11 00:48:15.948 UTC,Cigna,bid_submitted,2020-09-22,TRUE,26048.64
58563,2020-10-01 13:24:46.458 UTC,Sun Life,bid_submitted,2020-10-14,FALSE,26048.64
54588,2020-09-11 00:47:53.040 UTC,Lincoln,decline_to_bid,2020-09-23,FALSE,
54590,2020-09-11 00:47:55.696 UTC,Guardian,decline_to_bid,2020-09-24,FALSE,
54627,2020-09-11 00:50:04.978 UTC,MetLife,decline_to_bid,2020-09-30,FALSE,
58545,2020-10-01 00:42:13.190 UTC,Principal,decline_to_bid,2020-10-15,FALSE,
54587,2020-09-11 00:47:51.781 UTC,Delta Dental,bid_submitted,2020-09-30,TRUE,15512.4
58556,2020-10-01 13:24:42.284 UTC,Sun Life,bid_submitted,2020-10-14,FALSE,9674.4
54591,2020-09-11 00:47:57.020 UTC,Unum,no_response,,FALSE,
54592,2020-09-11 00:47:58.049 UTC,Lincoln,decline_to_bid,2020-09-23,FALSE,
54595,2020-09-11 00:48:00.894 UTC,Guardian,decline_to_bid,2020-09-24,FALSE,
54596,2020-09-11 00:48:01.892 UTC,Unum,decline_to_bid,2020-09-23,FALSE,
54628,2020-09-11 00:50:06.363 UTC,MetLife,decline_to_bid,2020-09-30,FALSE,
58546,2020-10-01 00:42:14.424 UTC,Principal,decline_to_bid,2020-10-15,FALSE,
54594,2020-09-11 00:47:59.914 UTC,Cigna,bid_submitted,2020-09-22,TRUE,8800.8
58557,2020-10-01 13:24:43.316 UTC,Sun Life,bid_submitted,2020-10-14,FALSE,11357.28
54597,2020-09-11 00:48:02.621 UTC,Lincoln,decline_to_bid,2020-09-23,FALSE,
54600,2020-09-11 00:48:03.608 UTC,Guardian,decline_to_bid,2020-09-24,FALSE,
54601,2020-09-11 00:48:03.893 UTC,Unum,decline_to_bid,2020-09-23,FALSE,
54629,2020-09-11 00:50:07.304 UTC,MetLife,decline_to_bid,2020-09-30,FALSE,
58547,2020-10-01 00:42:15.176 UTC,Principal,decline_to_bid,2020-10-15,FALSE,
54599,2020-09-11 00:48:03.322 UTC,Cigna,bid_submitted,2020-09-22,TRUE,39273.24
58558,2020-10-01 13:24:44.011 UTC,Sun Life,bid_submitted,2020-10-14,FALSE,40120.32
54602,2020-09-11 00:48:04.382 UTC,Lincoln,decline_to_bid,2020-09-23,FALSE,
54605,2020-09-11 00:48:06.672 UTC,Guardian,decline_to_bid,2020-09-24,FALSE,
54606,2020-09-11 00:48:07.446 UTC,Unum,decline_to_bid,2020-09-23,FALSE,
54630,2020-09-11 00:50:07.898 UTC,MetLife,decline_to_bid,2020-09-30,FALSE,
58548,2020-10-01 00:42:15.665 UTC,Principal,decline_to_bid,2020-10-15,FALSE,
54604,2020-09-11 00:48:05.895 UTC,Cigna,bid_submitted,2020-09-22,TRUE,26478
58559,2020-10-01 13:24:44.481 UTC,Sun Life,bid_submitted,2020-10-14,FALSE,51271.08
54607,2020-09-11 00:48:08.074 UTC,Lincoln,decline_to_bid,2020-09-23,FALSE,
54609,2020-09-11 00:48:08.767 UTC,Cigna,decline_to_bid,2020-09-22,FALSE,
54610,2020-09-11 00:48:09.105 UTC,Guardian,decline_to_bid,2020-09-24,FALSE,
54631,2020-09-11 00:50:08.799 UTC,MetLife,decline_to_bid,2020-09-30,FALSE,
58549,2020-10-01 00:42:16.284 UTC,Principal,decline_to_bid,2020-10-15,FALSE,
58560,2020-10-01 13:24:45.080 UTC,Sun Life,bid_submitted,2020-10-14,FALSE,
54611,2020-09-11 00:48:09.465 UTC,Unum,no_response,,FALSE,
54612,2020-09-11 00:48:09.951 UTC,Lincoln,decline_to_bid,2020-09-23,FALSE,
54614,2020-09-11 00:48:11.264 UTC,Cigna,decline_to_bid,2020-09-22,FALSE,
54615,2020-09-11 00:48:11.851 UTC,Guardian,decline_to_bid,2020-09-24,FALSE,
54632,2020-09-11 00:50:09.386 UTC,MetLife,decline_to_bid,2020-09-30,FALSE,
58550,2020-10-01 00:42:16.767 UTC,Principal,decline_to_bid,2020-10-15,FALSE,
58561,2020-10-01 13:24:45.580 UTC,Sun Life,bid_submitted,2020-10-14,FALSE,
54616,2020-09-11 00:48:12.441 UTC,Unum,no_response,,FALSE,
54618,2020-09-11 00:48:13.417 UTC,Lincoln,decline_to_bid,2020-09-23,FALSE,
54620,2020-09-11 00:48:14.365 UTC,Guardian,decline_to_bid,2020-09-24,FALSE,
54633,2020-09-11 00:50:10.566 UTC,MetLife,decline_to_bid,2020-09-30,FALSE,
58551,2020-10-01 00:42:17.281 UTC,Principal,decline_to_bid,2020-10-15,FALSE,
54617,2020-09-11 00:48:12.967 UTC,EyeMed,bid_submitted,2020-09-16,TRUE,9445.44
54621,2020-09-11 00:48:14.809 UTC,Unum,bid_submitted,2020-09-25,FALSE,8929.56
58562,2020-10-01 13:24:46.095 UTC,Sun Life,bid_submitted,2020-10-14,FALSE,8657.04
48920,2020-08-20 15:44:18.652 UTC,Reliance Standard,bid_submitted,2020-08-25,FALSE,
48921,2020-08-20 15:44:19.197 UTC,Reliance Standard,bid_submitted,2020-08-25,FALSE,
48922,2020-08-20 15:44:19.707 UTC,Reliance Standard,bid_submitted,2020-08-25,FALSE,
32506,2020-05-11 20:05:23.966 UTC,Sun Life,decline_to_bid,2020-05-26,FALSE,
32509,2020-05-11 20:05:25.329 UTC,Blue Cross Blue Shield,decline_to_bid,2021-01-14,FALSE,
32503,2020-05-11 20:05:22.493 UTC,Lincoln,bid_submitted,2020-05-13,FALSE,3737.4
32504,2020-05-11 20:05:22.985 UTC,Principal,bid_submitted,2020-05-26,FALSE,4372.32
32505,2020-05-11 20:05:23.459 UTC,MetLife,bid_submitted,2020-05-18,FALSE,4107.96
32507,2020-05-11 20:05:24.418 UTC,Dearborn Group,bid_submitted,2020-05-27,TRUE,4394.16
32508,2020-05-11 20:05:24.863 UTC,Guardian,bid_submitted,2020-05-27,FALSE,4128.84
32513,2020-05-11 20:05:26.746 UTC,Sun Life,decline_to_bid,2020-05-26,FALSE,
32516,2020-05-11 20:05:27.848 UTC,Blue Cross Blue Shield,decline_to_bid,2021-01-14,FALSE,
32510,2020-05-11 20:05:25.707 UTC,Lincoln,bid_submitted,2020-05-13,FALSE,1884
32511,2020-05-11 20:05:26.051 UTC,Principal,bid_submitted,2020-05-26,FALSE,2505.72
32512,2020-05-11 20:05:26.395 UTC,MetLife,bid_submitted,2020-05-18,FALSE,1959.36
32514,2020-05-11 20:05:27.117 UTC,Dearborn Group,bid_submitted,2020-05-27,TRUE,2355
32515,2020-05-11 20:05:27.477 UTC,Guardian,bid_submitted,2020-05-27,FALSE,2355
32517,2020-05-11 20:05:28.214 UTC,UnitedHealthcare,bid_submitted,2020-05-13,FALSE,4898.4
32521,2020-05-11 20:05:30.089 UTC,Sun Life,decline_to_bid,2020-05-26,FALSE,
32524,2020-05-11 20:05:31.528 UTC,Blue Cross Blue Shield,decline_to_bid,2021-01-14,FALSE,
32518,2020-05-11 20:05:28.626 UTC,Lincoln,bid_submitted,2020-05-13,FALSE,2324.76
32519,2020-05-11 20:05:29.118 UTC,Principal,bid_submitted,2020-05-26,FALSE,4113
32520,2020-05-11 20:05:29.579 UTC,MetLife,bid_submitted,2020-05-18,FALSE,2753.88
32522,2020-05-11 20:05:30.561 UTC,Dearborn Group,bid_submitted,2020-05-27,TRUE,2825.4
32523,2020-05-11 20:05:31.064 UTC,Guardian,bid_submitted,2020-05-27,FALSE,2682.36
32525,2020-05-11 20:05:31.988 UTC,UnitedHealthcare,bid_submitted,2020-05-13,FALSE,2145.96
32529,2020-05-11 20:05:33.339 UTC,Sun Life,decline_to_bid,2020-05-26,FALSE,
32532,2020-05-11 20:05:34.312 UTC,Blue Cross Blue Shield,decline_to_bid,2021-01-14,FALSE,
32526,2020-05-11 20:05:32.396 UTC,Lincoln,bid_submitted,2020-05-13,FALSE,10542.36
32527,2020-05-11 20:05:32.712 UTC,Principal,bid_submitted,2020-05-26,FALSE,11671.92
32528,2020-05-11 20:05:33.024 UTC,MetLife,bid_submitted,2020-05-18,FALSE,8283.24
32530,2020-05-11 20:05:33.664 UTC,Dearborn Group,bid_submitted,2020-05-27,TRUE,11822.52
