employer_id,product_id,invite_id
768,-79804461401252705A,29231
768,-79804461401252705A,29229
768,-79804461401252705A,29227
768,-79804461401252705A,29230
768,-79804461401252705A,29228
768,-79804461401252705A,29232
768,6366416528520003391A,29226
768,6366416528520003391A,29222
768,6366416528520003391A,29225
768,6366416528520003391A,29224
768,6366416528520003391A,29221
768,6366416528520003391A,29223
768,-6291123133660506622A,29233
768,-6291123133660506622A,29234
768,-6291123133660506622A,29238
768,-6291123133660506622A,29236
768,-6291123133660506622A,29235
768,-6291123133660506622A,29237
768,-8807125531607346631A,29216
768,-8807125531607346631A,29215
768,-8807125531607346631A,29217
768,-8807125531607346631A,29220
768,-8807125531607346631A,29218
768,-8807125531607346631A,29219
1536,905978892037112498A,61088
1536,905978892037112498A,61089
1536,905978892037112498A,61090
1536,905978892037112498A,61087
1536,905978892037112498A,61091
1536,6898953391250337926A,60595
1536,6898953391250337926A,60600
1536,6898953391250337926A,60598
1536,6898953391250337926A,60594
1536,6898953391250337926A,60596
1536,6898953391250337926A,60597
1536,6898953391250337926A,60599
1536,-4292151642457984269A,60588
1536,-4292151642457984269A,60592
1536,-4292151642457984269A,60589
1536,-4292151642457984269A,60593
1536,-4292151642457984269A,60590
1536,-4292151642457984269A,60591
769,-117831031180526326A,28782
769,-117831031180526326A,28785
769,-117831031180526326A,28783
769,-117831031180526326A,28787
769,-117831031180526326A,28786
769,-117831031180526326A,28784
769,8295133967007102548A,28809
769,8295133967007102548A,28808
769,8295133967007102548A,28806
769,8295133967007102548A,28807
769,8295133967007102548A,28811
769,8295133967007102548A,28810
769,-4690363516086297693A,28760
769,-4690363516086297693A,28763
769,-4690363516086297693A,28761
769,-4690363516086297693A,28762
769,-4690363516086297693A,28758
769,-4690363516086297693A,28759
1537,2218067858687637389A,57516
1537,2218067858687637389A,57515
1537,2218067858687637389A,57514
1537,2218067858687637389A,57512
1537,2218067858687637389A,57513
1537,2218067858687637389A,57511
1537,2218067858687637389A,57517
1537,3383838047978089906A,57522
1537,3383838047978089906A,57521
1537,3383838047978089906A,57524
1537,3383838047978089906A,57523
1537,3383838047978089906A,57518
1537,3383838047978089906A,57519
1537,3383838047978089906A,57520
1537,-2883067292103937761A,57510
1537,-2883067292103937761A,57504
1537,-2883067292103937761A,57506
1537,-2883067292103937761A,57505
1537,-2883067292103937761A,57508
1537,-2883067292103937761A,57509
1537,-2883067292103937761A,57507
1026,229869739090116528A,41001
1026,229869739090116528A,40996
1026,229869739090116528A,40993
1026,229869739090116528A,40997
1026,229869739090116528A,40992
1026,229869739090116528A,40999
1026,229869739090116528A,40995
1026,229869739090116528A,40998
1026,229869739090116528A,40994
1026,229869739090116528A,41000
1026,229869739090116528A,41002
1026,1045600924261842661A,40940
1026,1045600924261842661A,40939
1026,1045600924261842661A,40945
1026,1045600924261842661A,40943
1026,1045600924261842661A,40942
1026,1045600924261842661A,40944
1026,1045600924261842661A,40937
1026,1045600924261842661A,40938
1026,1045600924261842661A,40941
1026,1045600924261842661A,40947
1026,1045600924261842661A,40946
1026,1744473702150134726A,40975
1026,1744473702150134726A,40973
1026,1744473702150134726A,40979
1026,1744473702150134726A,40980
1026,1744473702150134726A,40974
1026,1744473702150134726A,40971
1026,1744473702150134726A,40970
1026,1744473702150134726A,40976
1026,1744473702150134726A,40972
1026,1744473702150134726A,40977
1026,1744473702150134726A,40978
1026,3706349282989748602A,40990
1026,3706349282989748602A,40982
1026,3706349282989748602A,40985
1026,3706349282989748602A,40983
1026,3706349282989748602A,40987
1026,3706349282989748602A,40984
1026,3706349282989748602A,40991
1026,3706349282989748602A,40988
1026,3706349282989748602A,40989
1026,3706349282989748602A,40981
1026,3706349282989748602A,40986
1026,3812362791180788996A,40963
1026,3812362791180788996A,40965
1026,3812362791180788996A,40966
1026,3812362791180788996A,40962
1026,3812362791180788996A,40968
1026,3812362791180788996A,40967
1026,3812362791180788996A,40969
1026,3812362791180788996A,40964
1026,3812362791180788996A,40959
1026,3812362791180788996A,40960
1026,3812362791180788996A,40961
1026,6274321508764174124A,40949
1026,6274321508764174124A,40957
1026,6274321508764174124A,40958
1026,6274321508764174124A,40952
1026,6274321508764174124A,40948
1026,6274321508764174124A,40951
1026,6274321508764174124A,40954
1026,6274321508764174124A,40956
1026,6274321508764174124A,40950
1026,6274321508764174124A,40953
1026,6274321508764174124A,40955
1283,3327378365904648413A,48348
1283,3327378365904648413A,48346
1283,3327378365904648413A,48344
1283,3327378365904648413A,48343
1283,3327378365904648413A,48347
1283,3327378365904648413A,48345
1283,-1215492373847794836A,48332
1283,-1215492373847794836A,48331
1283,-1215492373847794836A,48333
1283,-1215492373847794836A,48336
1283,-1215492373847794836A,48334
1283,-1215492373847794836A,48335
1283,-5887320295447390175A,48338
1283,-5887320295447390175A,48341
1283,-5887320295447390175A,48337
1283,-5887320295447390175A,48342
1283,-5887320295447390175A,48339
1283,-5887320295447390175A,48340
1284,2785535395410991913A,48393
1284,2785535395410991913A,48394
1284,2785535395410991913A,48391
